Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source
3.3.2,Environmental Concerns of Clean Energy Technology Deployment,,,"This lesson examines environmental concerns of renewable energy technologies like wind, solar, and hydropower, highlighting challenges such as land use, habitat disruption, water consumption, and hazardous materials. While lifecycle assessments show renewables have significantly lower GHG emissions than fossil fuels, the lesson stresses the need for mitigation strategies (e.g., turbine placement, solar panel recycling, habitat protection) to minimize ecological impacts and ensure sustainable deployment.",1,habitat fragmentation mitigation,"Habitat fragmentation mitigation refers to strategies and actions taken to reduce the negative impacts of habitat fragmentation, which occurs when large habitats are divided into smaller, isolated patches, often due to human activities. This can include creating wildlife corridors, restoring habitats, and implementing land-use planning to maintain connectivity between habitats.",Energy Technology Perspectives 2024,,https://www.iea.org/events/energy-technology-perspectives-2024,IEA
3.3.2,,,,,2,lifecycle assessment (lca),"Lifecycle assessment (LCA) is a systematic process for evaluating the environmental impacts of a product or service throughout its entire life cycle, from raw material extraction to production, use, and disposal.",Tracking Clean Energy Progress 2023,,https://www.iea.org/reports/tracking-clean-energy-progress-2023,IEA
3.3.2,,,,,3,renewable technology recycling,"Renewable technology recycling refers to the process of recovering and reprocessing materials from renewable energy technologies, such as solar panels and wind turbines, to reduce waste and promote sustainability.",Accelerating Hydrogen Deployment in the G7,,https://www.irena.org/Publications/2022/Nov/Accelerating-hydrogen-deployment-in-the-G7,IRENA
3.3.3,Advancing the Value Chain,,,"This lesson examines advancing the value chain in critical minerals and battery production, emphasizing opportunities for developing nations to shift from raw material exports to high-value processing. It highlights regional collaboration, vertical integration, and sustainable practices (e.g., recycling) to address socio-environmental impacts. Strategic governance and public-private partnerships are underscored as key drivers for economic resilience and equitable growth in the global energy transition.",1,circular economy models,"Circular economy models are economic systems aimed at minimizing waste and making the most of resources by reusing, recycling, and regenerating materials, thereby creating a closed-loop system that reduces environmental impact.",The Value of Urgent Action on Energy Efficiency,,https://www.iea.org/reports/the-value-of-urgent-action-on-energy-efficiency,IEA
3.3.3,,,,,2,high-value processing localization,"High-value processing localization refers to the practice of conducting advanced processing and manufacturing activities closer to the source of raw materials or resources, enhancing efficiency, reducing transportation costs, and increasing the economic benefits for local communities.",Securing Clean Energy Technology Supply Chains,,https://www.iea.org/reports/securing-clean-energy-technology-supply-chains,IEA
3.3.3,,,,,3,value chain,"A value chain is a series of steps or activities that a company takes to deliver a product or service, from initial conception to final delivery, adding value at each stage.",Accelerating the Decarbonization of Buildings: The Net Zero Carbon Cities Building Value Framework,,https://www.weforum.org/reports/accelerating-the-decarbonization-of-buildings-the-net-zero-carbon-cities-building-value-framework,RMI
3.4.1,Governance Strategies for a Just Energy Transition,Strategic Governance and Partnership Models for Just Energy Transitions,,"
This lesson explores key energy governance strategies employed by UNDP, introduces the concept of energy democracy, and highlights practical examples.",1,energy policy frameworks,"Energy policy frameworks are structured guidelines and regulations established by governments or organizations to manage energy production, distribution, and consumption, aiming to promote sustainability, security, and economic efficiency.",Delivering Energy Services for Poverty Reduction: Success Stories,,"https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition#:~:text=Publication%20year%3A%202023&text=UN%20Women%20and%20UNIDO%20have,research%20findings%20and%20case%20studies.",Elsevier
3.4.1,,,,,2,multi-level governance,"Multi-level governance refers to the system of decision-making that involves multiple layers of government and stakeholders, from local to global levels, working together to address complex issues such as environmental policy, economic development, and social welfare.",Implementing Clean Energy Transitions,,https://www.iea.org/reports/implementing-clean-energy-transitions,IEA
3.4.1,,,,,3,participatory decision-making,"A collaborative process where stakeholders are actively involved in making decisions that affect them, ensuring diverse perspectives are considered.",Energy Planning and Modelling Support in Africa,,https://www.irena.org/Energy-Transition/Planning/Long-term-energy-planning-support/Capacity-building-for-energy-planning-and-modelling,IRENA
3.4.2,Importance of Proactive Planning and Strategic Foresight,,,This lesson underscores the importance of proactive planning and strategic foresight in navigating the energy transition amid global crises like cost-of-living pressures and geopolitical instability. It highlights the need for collaborative governance and equitable infrastructure transformation to address historical inequities and build resilient systems,1,collaborative governance,"Collaborative governance is a process where multiple stakeholders, including government, businesses, and community members, work together to make decisions and solve problems in a cooperative manner.",A Global Foresight Report on Planetary Health and Human Wellbeing,,https://www.unep.org/resources/global-foresight-report,UNEP
3.4.2,,,,,2,strategic foresight,"Strategic foresight is the practice of anticipating and preparing for future trends, challenges, and opportunities to inform decision-making and strategic planning.",Reimagining Resource Planning,,https://rmi.org/insight/reimagining-resource-planning/,UN Women
3.4.2,,,,,3,,,How Energy Modeling Works. The Uses and Limitations of Energy. Modeling for Decarbonization Planning,,https://www.cesa.org/wp-content/uploads/How-Energy-Modeling-Works.pdf,Clean Energy States Alliance
3.4.3,Just Energy Transition Partnerships (JET-P),,,"This lesson explores Just Energy Transition Partnerships (JET-Ps) as innovative financing mechanisms to support developing nations in shifting from fossil fuels to clean energy. It emphasizes blending public and private capital to phase out coal, upgrade grids, and retrain workers. Challenges include ensuring equity, avoiding debt traps, and integrating grassroots priorities into national strategies. Effective governance and inclusive frameworks are stressed to balance economic shifts with social justice and accountability.",1,blended finance mechanisms,"Blended finance mechanisms are financial strategies that combine public and private funds to support projects, particularly in developing countries, aiming to leverage additional investment for sustainable development.",Experimental Indicators of the Clean Energy Transition,,https://www.iea.org/reports/experimental-indicators-of-the-clean-energy-transition,IEA
3.4.3,,,,,2,grassroots-to-national alignment,"Grassroots-to-national alignment refers to the process of ensuring that local community initiatives and movements are connected and coordinated with broader national policies and strategies, promoting coherence and mutual support between local actions and national goals.",Gender Equality in the Sustainable Energy Transition,,"https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition#:~:text=Publication%20year%3A%202023&text=UN%20Women%20and%20UNIDO%20have,research%20findings%20and%20case%20studies.",Sustainable Energy for All
3.4.3,,,,,3,just energy transition partnerships (jet-ps),"Just Energy Transition Partnerships (JET-Ps) are collaborative initiatives aimed at ensuring that the shift from fossil fuels to renewable energy sources is equitable and inclusive, addressing the social, economic, and environmental impacts on communities and workers affected by this transition.",Renewable Energy Capacity Statistics 2024,,https://www.esmap.org/Maximizing_Socioeconomic_Benefits_Triggered_by_Renewables?title=&year=all&created=&created_1=&programs%5B1664%5D=1664&programs%5B1656%5D=1656&programs%5B15%5D=15&programs%5B1240%5D=1240&programs%5B1652%5D=1652&sort_by=field_published_on_value&sort_order=DESC,IRENA
4.1.1,Fundamentals of Sustainable Energy Financing,Introduction to Sustainable Energy Finance and Market Dynamics,Sustainable Energy Finance,"This lesson introduces sustainable finance, exploring its role in integrating environmental, social, and governance (ESG) factors into financial decision-making to align capital flows with sustainable development goals, promote long-term value creation, and address global challenges such as climate change and social inequality.",1,actor of sustainable energy finance,"An actor of sustainable energy finance refers to individuals, organizations, or institutions that engage in funding, investing, or facilitating financial resources specifically aimed at promoting sustainable energy projects and technologies.",Power Sector Implementation of a Country Coal-to-Clean Transition,,http://www.unece.org/index.php?id=41058,IEA
4.1.1,,,,,2,esg,"ESG stands for Environmental, Social, and Governance; it refers to the three central factors used to measure the sustainability and societal impact of an investment in a company or business.",Global Trends in Renewable Energy Investment 2016,,http://fs-unep-centre.org/sites/default/files/publications/globaltrendsinrenewableenergyinvestment2016lowres_0.pdf,UNFCCC
4.1.1,,,,,3,sustainable energy finance√™,"Sustainable energy finance refers to the funding and investment strategies aimed at supporting projects and technologies that promote renewable energy, energy efficiency, and overall sustainability in the energy sector.",The Cost of Financing for Renewable Power,,https://www.irena.org/Publications/2023/May/The-cost-of-financing-for-renewable-power,IRENA
4.1.2,The Global Energy Investment Landscape of Energy Investments,Introduction to Sustainable Energy Finance and Market Dynamics,Sustainable Energy Finance,"This lesson introduces the global energy investment landscape, examining the disparities in investment flows between developed and developing countries, the challenges of financing clean energy transitions, and the urgent need for increased capital to bridge the investment gap and align with global climate targets.",1,disparities in energy investments,"Disparities in energy investments refer to the unequal distribution of financial resources and funding across different regions, communities, or sectors for energy projects, leading to imbalances in access to energy services and infrastructure.",World Energy Investment 2024,,https://www.iea.org/reports/world-energy-investment-2024,IEA
4.1.2,,,,,2,energy transition triple penalty for developing countries,"The energy transition triple penalty for developing countries refers to the challenges these nations face in shifting to sustainable energy sources, which include higher costs for renewable technologies, the need for significant infrastructure investment, and the potential loss of economic stability due to reliance on fossil fuels during the transition.",Renewables 2023 Global Status Report,,https://www.unep.org/resources/report/renewables-2023-global-status-report-collection-energy-demand,UNEP
4.1.2,,,,,3,new collective quantified goal (ncqg),"A New Collective Quantified Goal (NCQG) is a specific, measurable target set by a group of countries or organizations to collectively address global challenges, such as climate change, by tracking progress and ensuring accountability.",Derisking Renewable Energy Investment,,https://www.undp.org/sites/g/files/zskgke326/files/publications/Derisking%20Renewable%20Energy%20Investment%20-%20Key%20Concepts%20Note%20(Mar%202014Versi%20%20%20.pdf,UNDP
4.1.3,An Overview of Sustainable Energy Market Dynamics,Introduction to Sustainable Energy Finance and Market Dynamics,Sustainable Energy Finance,"This lesson explores the mechanisms driving sustainable energy market dynamics, highlighting the shift from fossil fuels to renewables, investment trends, technological advancements, policy frameworks, and the geopolitical and socioeconomic impacts shaping the future of global energy markets.",1,energy markets,"Energy markets are platforms where energy commodities, such as electricity, natural gas, and renewable energy credits, are bought and sold, allowing for price discovery and trade among producers, consumers, and traders.",World Investment Report 2023: Investing in Sustainable Energy for All,,https://investmentpolicy.unctad.org/publications/1283/world-investment-report-2023-investing-in-sustainable-energy-for-all,UNCTAD
4.1.3,,,,,2,energy security,"Energy security refers to the reliable availability of energy resources at an affordable price, ensuring that a country can meet its energy needs without excessive reliance on external sources.",Tracking Clean Energy Innovation in the Business Sector: An Overview,,https://www.iea.org/reports/tracking-clean-energy-innovation-in-the-business-sector-an-overview,IEA
4.1.3,,,,,3,market regulation,"Market regulation refers to the rules and laws established by governments or regulatory bodies to control and oversee economic activities in markets, ensuring fair competition, consumer protection, and preventing monopolies.",Trade and Development Report Update 2024,,https://unctad.org/publication/trade-and-development-report-update-april-2024,UNCTAD
4.1.4,Investable and Financeable Transformative Projects,Introduction to Sustainable Energy Finance and Market Dynamics,Sustainable Energy Finance,"This lesson explores Investable and Financeable Transformative Projectsand highlights the financial, regulatory, and technical criteria required to attract private and public capital while overcoming challenges such as high capital costs, unclear regulatory frameworks, and inadequate infrastructure in emerging and developing economies.",1,,,,,,
4.1.4,,,,,2,,,,,,
4.1.4,,,,,3,,,,,,
4.2.1,Role of Public Sector in Sustainable Energy Finance,Public Sector and Sustainable Energy Finance,Sustainable Energy Finance,"This lesson explores the crucial role of public sector investment in driving the renewable energy transition by providing financial support, mitigating risks, and fostering an enabling regulatory environment.",1,fiscal policies,Fiscal policies are government strategies regarding taxation and spending to influence a country's economy.,Key Enablers to Triple Renewables by 2030: Finance,,https://www.irena.org/News/articles/2024/Aug/Key-Enablers-to-Triple-Renewables-by-2030-Finance,IRENA
4.2.1,,,,,2,public investment management (pim),"Public Investment Management (PIM) refers to the processes and practices used by governments to plan, execute, and oversee investments in public projects and services, ensuring efficient use of resources and maximizing social and economic benefits.",Catalysing Climate Finance,,https://www.un-redd.org/sites/default/files/2021-10/UNDP-Catalysing-Climate%20Finance%20-%20May%202011.pdf,UNDP
4.2.1,,,,,3,regulatory support and policy frameworks,"Regulatory support and policy frameworks are structured guidelines and rules established by governments or organizations to promote, manage, and enforce practices related to energy use, sustainability, and environmental protection.",Tracking Public Investment in Energy Technology Research: A Roadmap,,https://www.iea.org/reports/tracking-public-investment-in-energy-technology-research-a-roadmap,IEA
4.2.2,Financial Health Policies and Regulation,Public Sector and Sustainable Energy Finance,Sustainable Energy Finance,"This lesson explores the importance of identifying, assessing, and mitigating financial risks in the energy sector through tools like stress testing and fiscal risk analysis. ",1,fiscal risk analysis,"Fiscal risk analysis is the assessment of potential financial uncertainties and vulnerabilities that could impact a government's budget and economic stability, including factors like revenue fluctuations, expenditure pressures, and external economic shocks.",Towards a Circular Steel Industry,,https://www.irena.org/Technical-Papers/Potential-Limitations-of-Marginal-Pricing-for-a-Power-System-Based-on-Renewables,IRENA
4.2.2,,,,,2,stress testing,"Stress testing is a simulation technique used to evaluate how a system, such as a financial institution or software application, performs under extreme conditions or adverse scenarios.",Fostering Effective Energy Transition 2024,,https://www.weforum.org/publications/fostering-effective-energy-transition-2024/in-full/3-sub-index-and-dimension-trends/,World Economic Forum
4.2.2,,,,,3,,,UN SDSN Global Climate Hub: Modelling Net Zero Pathways,,https://www.iea.org/reports/financing-clean-energy-in-africa,National Renewable Energy Laboratory
4.2.3,The Energy Subsidy Reform,Public Sector and Sustainable Energy Finance,Sustainable Energy Finance,"This lesson explores the economic, environmental, and fiscal implications of fossil fuel subsidies, emphasizing their role in distorting energy markets, straining public finances, and delaying sustainable energy transitions. ",1,energy/fossil fuel  subsidies,"Financial support from governments to the fossil fuel industry, which can include direct payments, tax breaks, or price controls, aimed at reducing the cost of fossil fuels for consumers and producers.",Asia energy profile : energy sector performance (English),,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/465061468324852926/asia-energy-profile-energy-sector-performance,World Bank
4.2.3,,,,,2,market distortions,"Market distortions refer to any factors that prevent the free market from functioning efficiently, often due to government intervention, monopolies, or externalities, leading to misallocation of resources and affecting prices.",UNDP Energy Strategy 2017-2021,,https://un-energy.org/wp-content/uploads/2017/01/UNDP-Energy-Strategy-2017-2021.pdf,ESCAP
4.2.3,,,,,3,re incentives,Re incentives are financial or non-financial rewards designed to encourage individuals or organizations to adopt renewable energy practices or technologies.,World Energy Outlook 2020,,https://www.iea.org/reports/world-energy-outlook-2020,IEA
4.3.1,Private Sector Investment in Sustainable Energy,Scaling Up Private Sector Investment in Sustainable Energy,Sustainable Energy Finance,"This lesson explores the critical role of private sector investment in driving the transition to sustainable energy, emphasizing the need for significant capital mobilization beyond public finance to meet global clean energy targets. ",1,blended finance,"Blended finance is a financial approach that combines public or philanthropic funds with private investment to support projects that have social or environmental benefits, aiming to attract more capital to achieve sustainable development goals.",Scaling Up Private Finance for Clean Energy in Emerging and Developing Economies,,https://www.iea.org/reports/scaling-up-private-finance-for-clean-energy-in-emerging-and-developing-economies,IEA
4.3.1,,,,,2,cost of capital,The cost of capital is the return rate that a company must earn on its investments to satisfy its investors or creditors.,Accerlating the Energy Transition in Emerging Markets â Strategies for Unlocking Investment,,https://www.cif.org/resource-collections/program-and-sector-specific-studies/accelerating-energy-transition-emerging,Climate Investment Funds
4.3.1,,,,,3,public-private partnerships√™,"Public-private partnerships (PPPs) are collaborative agreements between government entities and private sector companies to finance, build, and operate projects or services that benefit the public, such as infrastructure, healthcare, or education.",World Energy Investment 2023,,https://www.iea.org/reports/world-energy-investment-2023,IEA
4.3.2,Risk Mitigation Strategies,Scaling Up Private Sector Investment in Sustainable Energy,Sustainable Energy Finance,"This lesson introduces the concept of de-risking renewable energy investments, particularly in developing countries, through policy and financial de- risking",1,credit guarantee√™,"A credit guarantee is a promise made by a third party to cover a borrower's debt if they default, helping to reduce the risk for lenders and facilitate access to loans.",Unlocking Renewable Energy Investment: The role of risk mitigation and structured finance,,https://www.irena.org/Publications/2016/Jun/Unlocking-Renewable-Energy-Investment-The-role-of-risk-mitigation-and-structured-finance,IRENA
4.3.2,,,,,2,policy de-risking strategies,"Policy de-risking strategies are approaches or measures implemented by governments or organizations to reduce the financial, regulatory, or operational risks associated with investments in sustainable energy or other sectors, thereby encouraging more investment and innovation.",Climate Infrastructure Investing: Risks and Opportunities for Unlisted Renewables,,https://www.iea.org/reports/climate-infrastructure-investing-risks-and-opportunities-for-unlisted-renewables,IEA
4.3.2,,,,,3,securitization,"Securitization is the process of converting an illiquid asset or group of assets into a security, which can be sold to investors. This typically involves pooling various financial assets, such as loans or mortgages, and creating tradable securities backed by those assets.",Utilising the Broad Application of Green Hydrogen,,https://www.undp.org/vietnam/blog/utilising-broad-application-green-hydrogen,UNDP
4.3.3,Blended Finance,Scaling Up Private Sector Investment in Sustainable Energy,Sustainable Energy Finance,"This chapter explores blended finance as a strategy for mobilizing private sector investment in renewable energy projects, especially in developing countries. It highlights how blended finance combines concessional funding with private capital to de-risk high-impact clean energy projects. ",1,concessional finance,"Concessional finance refers to loans or financial assistance provided on terms significantly more generous than market rates, often including lower interest rates or extended repayment periods, aimed at supporting development projects in low-income countries.",Blended Finance and the Gender-Energy Nexus: A Stocktaking Report,,https://www.wocan.org/wp-content/uploads/2024/07/CC-Facility_Learning-Hub_Stocktaking-Report.pdf,International Network on Gender and Sustainable Energy
4.3.3,,,,,2,subordinated debt√™,"Subordinated debt is a type of loan or bond that ranks below other debts in terms of claims on assets or earnings in the event of liquidation or bankruptcy, meaning it is repaid after senior debts.",Linking Global Finance to Small-Scale Clean Energy,,https://www.undp.org/publications/linking-global-finance-small-scale-clean-energy,UNDP
4.3.3,,,,,3,syndicated lending,"Syndicated lending is a loan provided by a group of lenders, typically banks, who work together to fund a single borrower, sharing the risk and resources involved.",What is Climate Finance and Why Do We Need More of It?,,https://climatepromise.undp.org/news-and-stories/what-climate-finance-and-why-do-we-need-more-it,UNDP
4.4.1,Thematic Bonds (Public and Corporate),Innovative Financial Instruments and Tools for Renewable Energy,Sustainable Energy Finance,"This chapter explores various thematic bonds, including green, social, sustainability, and transition bonds, as innovative financial instruments designed to support sustainable development projects, with a focus on reducing environmental impact and fostering global climate goals.",1,credit ratings & borrowing costs,"Credit ratings are assessments of the creditworthiness of a borrower, indicating the likelihood of default on debt obligations. Borrowing costs refer to the interest rates and fees that borrowers must pay to obtain loans, which are influenced by their credit ratings.",The Net Zero Industry Tracker,,https://www.weforum.org/reports/the-net-zero-industry-tracker,WEF
4.4.1,,,,,2,debt sustainability,"Debt sustainability refers to the ability of a borrower, typically a government or organization, to manage and repay its debt without requiring external assistance or defaulting, ensuring that debt levels remain stable relative to income or economic growth.",Advancing Decarbonisation Through Clean Electricity Procurement,,https://www.iea.org/reports/advancing-decarbonisation-through-clean-electricity-procurement,IEA
4.4.1,,,,,3,thematic bond,"A thematic bond is a type of bond issued to finance projects that have a specific social or environmental theme, such as renewable energy, education, or healthcare.",Climate Critical: The Energy Efficiency Imperative,,https://www.theclimategroup.org/sites/default/files/2023-03/Climate%20Group%20-%20EP100%20-%20Progress%20and%20Insights%20Report%20FINAL%2022.pdf,The Climate Group
4.4.2,"Debt Swaps (Debt for Energy, D4E)",Innovative Financial Instruments and Tools for Renewable Energy,Sustainable Energy Finance,"This lesson explores the Debt-for-Energy (D4E) swaps, a financial mechanism that reduces national debt while investing in renewable energy projects to support the energy transition and economic sustainability in developing countries.",1,debt restructuring√™,"Debt restructuring is the process of reorganizing the terms of an existing debt agreement, often to reduce the burden on the borrower, which may include changing interest rates, extending payment deadlines, or reducing the total amount owed.",Debt-for-Climate Swaps,,"What are the key topics? What are the tags? Energy, Health, Gender, Economy, Environment, Government, Finance, Technology?",Institute for Governance & Sustainable Development
4.4.2,,,,,2,debt-for- nature swap,A debt-for-nature swap is a financial arrangement in which a portion of a country's foreign debt is forgiven in exchange for commitments to invest in environmental conservation projects.,A new wave of debt swaps for climate or nature,,https://www.undp.org/future-development/signals-spotlight-2023/new-wave-debt-swaps-climate-or-nature,UNDP
4.4.2,,,,,3,,,The Energy Transition: A Catalyst to Address the Global Triple Crisis,,https://www.imf.org/en/Blogs/Articles/2023/11/06/how-green-innovation-can-stimulate-economies-and-curb-emissions,IEA
4.4.3,Carbon Financing,Innovative Financial Instruments and Tools for Renewable Energy,Sustainable Energy Finance,"This lesson explores how carbon pricing mechanisms, such as carbon taxes and emissions trading systems, drive low-carbon transitions by providing economic incentives to reduce emissions, while highlighting challenges like greenwashing and the need for robust verification systems.",1,carbon pricing,"Carbon pricing is a method for reducing global warming emissions by assigning a cost to carbon dioxide emissions, encouraging businesses and individuals to lower their carbon footprint.","Carbon Capture, Utilization, and Storage (CCUS)",,https://www.iea.org/reports/ccus,IEA
4.4.3,,,,,2,paris agreement article 6,"Article 6 of the Paris Agreement outlines mechanisms for countries to cooperate in achieving their climate goals, including market-based approaches for reducing greenhouse gas emissions and promoting sustainable development.","Energy, Electricity and Nuclear Power Estimates for the Period up to 2050",,https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1754web-26894285.pdf,Sustainable Energy for All
4.4.3,,,,,3,voluntary carbon offsets,"Voluntary carbon offsets are credits that individuals or companies purchase to compensate for their own greenhouse gas emissions, by funding projects that reduce or remove carbon dioxide from the atmosphere, such as reforestation or renewable energy initiatives.",Carbon Payments for Development,,https://www.undp.org/energy/our-flagship-initiatives/carbon-payments-development,UNDP
4.4.4,Emerging Technologies: AI-Powered and Digital Financing Solutions,Innovative Financial Instruments and Tools for Renewable Energy,Sustainable Energy Finance,"This lesson explores how integrating blockchain technology and digital financing platforms can transform sustainable energy finance by enhancing transparency, reducing transaction costs, expanding access to finance, and supporting energy trading",1,blockchain technologies,"Blockchain technologies are decentralized digital ledgers that securely record transactions across multiple computers, ensuring that the data cannot be altered retroactively without the consensus of the network.",AI Can Power The Green Energy Transition,,https://www.forbes.com/sites/sumantsinha/2024/02/26/ai-can-power-the-green-energy-transition/,Forbes
4.4.4,,,,,2,digital financing platforms,"Digital financing platforms are online services that facilitate financial transactions, lending, and investment through digital means, connecting borrowers and lenders or investors and projects.",How Digital Technology and Innovation can Help Protect the Planet,,https://www.unep.org/news-and-stories/story/how-digital-technology-and-innovation-can-help-protect-planet,UNEP
4.4.4,,,,,3,predictive analytics,Predictive analytics is the use of statistical techniques and algorithms to analyze historical data and make predictions about future events or trends.,Delivering Energy Services for Poverty Reduction: Success Stories,,https://www.cepal.org/en/pressreleases/current-pace-only-23-sustainable-development-goal-targets-will-be-achieved-2030-latin,IMF
4.5.1,Partnerships for Sustainable Energy Investments,Cross-Sectional Issues in Sustainable Energy Finance,Sustainable Energy Finance,"This lesson focuses on the importance of partnerships in driving sustainable energy investments by pooling resources, sharing risks, and fostering collaboration between governments, international organizations, and the private sector.",1,just energy transition partnerships√™,"Just energy transition partnerships are collaborative efforts between various stakeholders, including governments, businesses, and communities, aimed at ensuring that the shift from fossil fuels to renewable energy sources is equitable, inclusive, and benefits all, particularly marginalized groups.",Low-Cost Finance for the Energy Transition,,https://www.irena.org/Publications/2023/May/Low-cost-finance-for-the-energy-transition,IRENA
4.5.1,,,,,2,multilateral development banks (mdbs),"Multilateral development banks (MDBs) are international financial institutions that provide loans, grants, and technical assistance to support economic development and reduce poverty in developing countries, typically funded by multiple countries.",Renewable Power Generation Costs in 2021,,https://www.irena.org/Publications/2022/Jul/Renewable-Power-Generation-Costs-in-2021,IRENA
4.5.1,,,,,3,risk-sharing mechanisms√™,"Risk-sharing mechanisms are strategies or tools used to distribute the financial risks associated with a project or investment among multiple parties, reducing the burden on any single entity.",Scaling Up Investments in Ocean Energy Technologies,,https://www.irena.org/Publications/2023/Mar/Scaling-up-investments-in-ocean-energy-technologies,IRENA
4.5.2,Gender Equality And Sustainable Energy Finance,Cross-Sectional Issues in Sustainable Energy Finance,Sustainable Energy Finance,"This lesson focuses on addressing the intersectionality of gender inequality within climate and energy finance, highlighting how overlapping identities such as gender, race, ethnicity, and socioeconomic status can exacerbate barriers to accessing financial resources, leadership roles, and energy technologies for marginalized women.",1,intersectionality√™,"Intersectionality is a framework for understanding how various social identities, such as race, gender, class, and sexuality, intersect and interact to create unique experiences of discrimination and privilege.",Advancing gender equality in the renewable energy sector,,https://www.ruralelec.org/publication/position-paper-advancing-gender-equality-in-the-renewable-energy-sector/,Alliance for Rural Electrification
4.5.2,,,,,2,risk-sharing mechanisms,"Risk-sharing mechanisms are strategies or arrangements that distribute the financial risks associated with a project or investment among multiple parties, reducing the burden on any single entity.",Solar PV: A Gender Perspective,,https://www.irena.org/Publications/2022/Sep/Solar-PV-Gender-Perspective,IRENA
4.5.2,,,,,3,targeted funding√™,"Targeted funding refers to financial resources allocated specifically for a particular project, initiative, or purpose, often aimed at addressing specific needs or goals within a community or sector.",Gender Equality in the Off-Grid Solar Sector: A Primer,,https://www.esmap.org/Gender_Equality_in_the_Off-Grid_Solar_Sector_Primer,ESMAP
4.5.3,Regional Priorities,Cross-Sectional Issues in Sustainable Energy Finance,Sustainable Energy Finance,This lesson discusses energy investment priorities across different regions and the tools that migh work best for each,1,,,Renewable Energy Capacity Statistics 2024,,https://sun-connect.org/wpcont/uploads/IRENA_RE_Capacity_Statistics_2024.pdf,IRENA
4.5.3,,,,,2,,,"At the Current Pace, Only 23% of the Sustainable Development Goal Targets Will Be Achieved by 2030 in Latin America and the Caribbean",,https://www.weforum.org/reports/the-net-zero-industry-tracker,IRENA
4.5.3,,,,,3,,,Renewable Energy Outlook for ASEAN: Towards a Regional Energy Transition (2nd Edition),,https://www.irena.org/Publications/2022/Sep/Renewable-Energy-Outlook-for-ASEAN-2nd-edition,IRENA
5.1.1,Introduction to Energy Governance,An Overview of Energy Governance,Energy Governance for a Just Energy Transition,"This lesson defines governance and energy governance, emphasizing their critical role in shaping decision-making, managing trade-offs, and ensuring a just energy transition, and discusses the three principles of effectiveness, inclusinvess and accountability",1,energy governance,"Energy governance refers to the frameworks, policies, and institutions that guide the management and regulation of energy resources, ensuring sustainable development, security, and equitable access to energy.",Securing Clean Energy Technology Supply Chains,,http://repositorio.cepal.org/handle/11362/40809,IEA
5.1.1,,,,,2,principle of energy governance,"The principle of energy governance refers to the frameworks, policies, and practices that guide the management and regulation of energy resources, ensuring sustainable, equitable, and efficient energy use while balancing economic, environmental, and social considerations.",International Energy Agency âNet Zero by 2050 reportâ,,https://www.wbcsd.org/resources/international-energy-agency-net-zero-by-2050-report/,World Business Council for Sustainable Development
5.1.1,,,,,3,,,Why Artificial Intelligence is a Game-Changer for Renewable Energy,,https://www.irena.org/Publications/2022/Mar/Renewable-Technology-Innovation-Indicators,REN21
5.1.2,Energy Governance Focus Areas,An Overview of Energy Governance,Energy Governance for a Just Energy Transition,"This lesson explores energy governance four pillars(focus areas), including inclusive institutions, regulatory frameworks, civic engagement, and oversight mechanisms.",1,appropriate and independent oversight.,"A system of monitoring and evaluation that ensures decisions and actions are made transparently and accountably, without undue influence from those being overseen.",Dutch Green Hydrogen proposition for South Africa,,https://www.iea.org/reports/world-energy-investment-2024,IEA
5.1.2,,,,,2,"civic engagement and empowerment,","Civic engagement and empowerment refer to the active participation of individuals in their community and society, enabling them to influence decisions, advocate for change, and contribute to the democratic process.",Public Finance For Universal Energy Access,,https://www.ruralelec.org/publication/e-mobility-dre-innovations-in-emerging-economies/,World Economic Forum
5.1.2,,,,,3,inclusive and effective institutions,"Institutions that are open to participation from all segments of society and operate in a way that is transparent, accountable, and responsive to the needs of the community, ensuring equitable access to resources and decision-making processes.",Energy Modelling in the EU and China,,https://www.irena.org/Publications/2022/Mar/Green-Hydrogen-for-Industry,UNECE
5.1.3,Cross-Cutting Approaches to Energy Governance,An Overview of Energy Governance,Energy Governance for a Just Energy Transition,"This lesson highlights four essential cross-cutting approaches—people-centered inclusivity, multi-level governance, digital enablement, and flexibility—demonstrating how they enhance the effectiveness, transparency, and adaptability of governance systems to support just and sustainable energy transitions.",1,digitally enabled approaches,"Methods or strategies that utilize digital technologies to enhance processes, improve efficiency, or facilitate communication and collaboration.",Towards a Hydrogen Economy in the UNECE Region,,https://unece.org/sustainable-energy/publications/towards-hydrogen-economy-unece-region,UNECE
5.1.3,,,,,2,flexible and adaptive approaches,"Flexible and adaptive approaches refer to strategies that can be adjusted and modified in response to changing conditions, needs, or challenges, allowing for more effective problem-solving and resource management.",Advancing Green Hydrogen Production from Solar and Wind Power Sources and Potential Uses in Viet Nam,,https://www.irena.org/Publications/2022/Sep/Solar-PV-Gender-Perspective,Netherlands Enterprise Agency
