Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source,Resource ID
3.1.1,,,,,2,net zero,"Net zero refers to the balance between the amount of greenhouse gas emissions produced and the amount removed from the atmosphere, resulting in no net increase in emissions.",Mapping Justice in National Climate Action: A Global Overview of Just Transition Policies,"This report is an initial exploratory study of global trends in just transition policies and laws. It empirically reviews 159 policies and laws across 61 countries and the European Union that are available from the Climate Change Laws of the World database, and seeks to map which countries are integrating ideas associated with the just transition into domestic climate policy, and how. ",The Just Transition Finance Lab,https://justtransitionfinance.org/wp-content/uploads/2024/06/Mapping-justice-in-national-climate-action.pdf,3112
3.1.1,,,,,3,carbon neutrality,Carbon neutrality is the state of achieving net-zero carbon emissions by balancing the amount of carbon released with an equivalent amount of carbon offset or removed from the atmosphere.,World Energy Transitions Outlook 2024,"IRENA’s 1.5°C Scenario, set out in the World Energy Transitions Outlook, presents a pathway to achieve the 1.5°C target by 2050, positioning electrification and efficiency as key transition drivers, enabled by renewable energy, clean hydrogen and sustainable biomass.",IRENA,https://www.irena.org/Publications/2024/Nov/World-Energy-Transitions-Outlook-2024,3113
3.1.2,Unpacking The Concept Of A Just Energy Transition,,,"This lesson outlines the just energy transition, focusing on fairness, equity, and inclusivity in sustainable energy shifts. Originating from labor rights, it addresses historical inequities through environmental, climate, and energy justice. It highlights localized solutions and global frameworks like the AJET principles to balance urgent climate action with social and economic justice.",1,,,The 8 core principles of a Just Energy Transformation,"Set out by the Alliance for Just Energy Transformation (AJET), the 8 principles of a Just Energy Transformation aim to outline a shared understanding towards successful implementation of Just Transition policies worldwide, even as the details of the transitions differ at national scales.",UNDP,https://www.undp.org/energy/publications/8-core-principles-just-energy-transformation,3121
3.1.2,,,,,2,,,Energy justice: A conceptual review,"Energy justice has emerged as a new crosscutting social science research agenda which seeks to apply justice principles to energy policy, energy production and systems, energy consumption, energy activism, energy security and climate change. A conceptual review is now required for the consolidation and logical extension of this field.",Science Direct,https://www.sciencedirect.com/science/article/abs/pii/S2214629615300669,3122
3.1.2,,,,,3,,,Building Trust through an Equitable and Inclusive Energy Transition,"Fostering a just, equitable and inclusive energy transition is not solely an environmental concern but also a social, economic and geopolitical necessity. This report underscores the urgency and importance of such a transition, identifies signs of inequality and proposes solutions to bridge gaps, reduce uncertainties and build trust in a transition that safeguards vulnerable populations and ensures inclusivity for all.",WEF,https://www3.weforum.org/docs/WEF_Building_Trust_through_an_Equitable_and_Inclusive_Energy_Transition_2024.pdf,3123
3.1.3,Key Challenges In The Global South,,,"This lesson delves into the specific challenges and opportunities that developing countries face in the context of the just energy transition. By examining these dynamics, we aim to shed light on strategies and initiatives that can facilitate a transition towards a more sustainable and equitable energy future for all.",1,energy equity,"Energy equity refers to the fair distribution of energy resources and services, ensuring that all individuals and communities have access to affordable, reliable, and clean energy, regardless of their socioeconomic status.",Exploring Just Transition in the Global South,This co-created briefing highlights how country teams see the relevance of the just transition concept as various  stakeholders promote actions to tackle climate change. It also offers some preliminary suggestions for how climate (and development) finance might be re-oriented to take better account of transition planning needs.,South to South Just transitions,https://climatestrategies.org/wp-content/uploads/2022/05/Exploring-Just-Transition-in-the-Global-South_FINAL.pdf,3131
3.1.3,,,,,2,localized solutions,"Localized solutions refer to strategies or approaches that are specifically designed to address environmental, social, or economic challenges within a particular community or region, taking into account its unique characteristics and needs.",Unlocking Clean Power for All,"Solar photovoltaic (PV) and onshore wind are now the cheapest options for new power generation, but enabling policies are still needed to speed up deployment, particularly in lower income countries. Public financial support measures most likely to facilitate tipping in lower income countries are concessional finance, grants, and loan guarantees; grid investments; and fossil fuel subsidy reform. Increased transfers are needed from the international donor and finance community.",IISD,https://www.iisd.org/publications/report/clean-power-tipping-points,3132
3.1.3,,,,,3,,,Net Zero Roadmap: A Global Pathway to Keep the 1.5 °C Goal in Reach,"The report set out a narrow but feasible pathway for the global energy sector to contribute to the Paris Agreement’s goal of limiting the rise in global temperatures to 1.5 °C above pre-industrial levels. The Net Zero Roadmap quickly became an important benchmark for policy makers, industry, the financial sector and civil society..",IEA,https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach,3133
3.2.1,Human rights and socio-economic impacts,Ensuring a Just Transition for Workers and Affected Communities,,"This lesson addresses human rights and socio-economic challenges in renewable energy transitions, including land displacement, labor rights abuses in mineral extraction, and inequitable benefits. It emphasizes inclusive policies, the Escaz√∫ Agreement for environmental democracy, and participatory processes like FPIC to protect indigenous rights and ensure equity.",1,"free, prior, and informed consent (fpic)","Free, prior, and informed consent (FPIC) is a principle that ensures that indigenous peoples and local communities have the right to give or withhold their consent for projects affecting their land, resources, and rights, based on full information and without coercion.",Renewable energy and the right to development: realizing human rights for sustainable development,"Transforming the energy sector to renewable energy is essential for addressing climate change. States and communities recognize that the benefits of this shift far outweigh its economic costs, considering the environmental and human rights harms of inaction.",OHCHR,https://www.ohchr.org/sites/default/files/2022-05/KMEnergy-EN.pdf,3211
3.2.1,,,,,2,inclusive policy frameworks,"Inclusive policy frameworks are guidelines and strategies designed to ensure that all individuals, regardless of their background or circumstances, have equal access to opportunities, resources, and decision-making processes in various sectors, including social, economic, and environmental areas.","Guidance Note: Climate, Peace and Security in LAC","As the pace of climate change accelerates, so its impact on peace and security has become an important element of the broader discourse. Yet, the global evidence base on climate-related security risks remains limited, as do examples of initiatives at scale. This policy note takes a pragmatic approach to describing how UNDP might engage with climate, peace and security in Latin America and the Caribbean (LAC) and identify possible points of entry.",UNDP,https://www.undp.org/latin-america/publications/guidance-note-climate-peace-and-security-latin-america-and-caribbean,3212
3.2.1,,,,,3,,,,,,,3213
3.2.2,Worker Retraining and Employment Disparities,,,"This lesson focuses on worker retraining and skills development for renewable energy transitions, emphasizing policies to address job displacement, regional disparities, and gender gaps. ",1,gender gap in energy employment,"The gender gap in energy employment refers to the disparity between the number of men and women working in the energy sector, often characterized by fewer women in technical, leadership, and decision-making roles compared to their male counterparts.","Real People, Real Change : Strategies for just energy transitions","This report aims to support governments of both developed and developing countries in their endeavour to make energy transitions just. It brings together political and communications strategies for a just transition, building on research and case studies of energy transitions that have happened or are happening in Canada, Egypt, Indonesia, India, Poland, and Ukraine.",IISD,https://www.iisd.org/system/files/publications/real-people-change-strategies-just-energy-transitions.pdf,3221
3.2.2,,,,,2,just transition workforce programs,"Just transition workforce programs are initiatives designed to support workers and communities in transitioning to sustainable jobs and industries, ensuring that the shift to a greener economy is fair and equitable, providing training, resources, and support for those affected by changes in the job market.",Decentralised solar PV: A gender perspective,"This study finds that women continue to face numerous barriers to engagement in the decentralised solar PV workforce, providing recommendations to advance female inclusion in the sector. ",IEA,https://www.irena.org/Publications/2024/Oct/Decentralised-Solar-PV-Gender-Perspective-2024,3222
3.2.2,,,,,3,skills development ecosystems,"Skills development ecosystems refer to interconnected networks of organizations, institutions, and resources that collaboratively support the continuous learning and enhancement of skills among individuals, often tailored to meet the needs of the labor market and promote economic growth.","World Energy
 Employment 2024","The report offers a
 detailed overview of energy employment, including estimates of the
 workforce's size and distribution across different regions, sectors,
 and technologies",IEA,https://www.iea.org/reports/world-energy-employment-2024,3223
3.2.3,Social Safety Nets and Income Support,,,"This lesson focuses on social safety nets and income support in energy transitions, emphasizing measures like Energy Safety Nets (ESNs) to prevent energy poverty and ensure affordability for vulnerable groups. It highlights targeted subsidies to reduce inequalities, gender-sensitive policies for inclusive access, and the role of these programs in poverty reduction and social stability during shifts to sustainable energy.",1,energy safety nets (esns),"Energy safety nets (ESNs) are programs or policies designed to protect vulnerable populations from energy poverty and ensure access to affordable energy services, often through subsidies, financial assistance, or targeted support.",Community Energy Toolkit: Best practices for broadening the ownership of renewables,"This white paper, developed by the IRENA Coalition for Action, analyses 11 renewable energy initiatives from across the world, showcasing ways in which communities actively participate in energy decision making bringing socio-economic impacts to societies. ",IRENA,https://www.irena.org/Publications/2021/Nov/Community-Energy-Toolkit-Best-practices-for-broadening-the-ownership-of-renewables,3231
3.2.3,,,,,2,gender-sensitive  measures,"Gender-sensitive measures are policies or actions that take into account the different needs, roles, and experiences of individuals based on their gender, aiming to promote equality and address disparities.",A just energy transition for communities: Large-scale wind and solar projects in Sub-Saharan Africa ,This report investigates the potential benefits of large-scale solar and wind energy projects to local communities in Sub-Saharan Africa. ,IRENA,https://www.irena.org/Publications/2025/Jan/A-just-energy-transition-for-communities-Large-scale-wind-and-solar-projects-in-Sub-Saharan-Africa,3232
3.2.3,,,,,3,targeted energy subsidies,"Targeted energy subsidies are financial support measures provided by governments to specific sectors, groups, or technologies to promote energy efficiency, renewable energy, or reduce energy costs for vulnerable populations.",Green jobs for rural youth: unlocking renewable energy’s potential in agriculture,"Youth unemployment is surging in sub-Saharan Africa and South Asia, where population growth drives demand for jobs. Decentralized renewable energy (DRE) technologies offer sustainable growth by generating green electricity, boosting productivity, and creating jobs, especially in agriculture. However, barriers like high costs, limited availability, and skill shortages hinder adoption. This study analyzes four countries, quantifying DRE-related agricultural jobs and providing the first comprehensive employment estimates.",Efficiency for Access Coalition,https://efficiencyforaccess.org/wp-content/uploads/Green-Jobs-for-rural-youth.pdf,3233
3.3.1,Critical Minerals and Materials,A JET that Preserves Nature and Catalyzes Economic Growth,,"This lesson addresses critical minerals essential for renewable energy technologies, highlighting challenges like rising demand, geographic concentration, and environmental/social impacts. It emphasizes the need for responsible extraction practices to bridge gaps between policies and on-ground outcomes. While offering economic opportunities for resource-rich nations, it underscores risks of resource mismanagement and calls for international cooperation to ensure equitable governance, sustainable development, and a just energy transition.",1,critical minerals,"Critical minerals are natural resources that are essential for the production of high-tech devices, renewable energy technologies, and other advanced applications, and are at risk of supply disruption.",Critical materials for renewable energy: Improving data governance ,"This report, one of two produced in conjunction with the Norwegian Institute of International Affairs, reviews initiatives aimed at improving data availability in other sectors to inform models for critical materials data management.",IRENA,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2024/Oct/IRENA_Critical_materials_for_renewables_Improving_data_governance_2024.pdf,3311
3.3.1,,,,,2,responsible extraction practices,"Responsible extraction practices refer to methods of obtaining natural resources that prioritize environmental sustainability, social equity, and economic viability, ensuring minimal harm to ecosystems and communities.",Finding common ground for a just energy transition: Labour and employer perspectives ,"A just energy transition – in which no one is left behind – is critical to ensure broad social acceptance of the profound changes the transition entails. This Coalition for Action brief captures the concerns, insights and recommendations of trade unions and energy sector employers on how the energy transition can develop in a just manner for all.",IRENA,https://www.irena.org/Publications/2023/Aug/Finding-common-ground-for-a-just-energy-transition-Labour-and-employer-perspectives,3312
3.3.1,,,,,3,sustainable supply chains,"Sustainable supply chains refer to the management of the flow of goods and services in a way that minimizes environmental impact, promotes social responsibility, and ensures economic viability throughout the entire lifecycle of a product.",Global Critical Minerals Outlook 2024,This report provides a snapshot of industry developments in 2023 and early 2024 and  offers medium- and long-term outlooks for the demand and supply of key  energy transition minerals based on the latest technology and policy  trends.,IEA,https://www.iea.org/reports/global-critical-minerals-outlook-2024,3313
3.3.2,Environmental Concerns of Clean Energy Technology Deployment,,,"This lesson examines environmental concerns of renewable energy technologies like wind, solar, and hydropower, highlighting challenges such as land use, habitat disruption, water consumption, and hazardous materials. While lifecycle assessments show renewables have significantly lower GHG emissions than fossil fuels, the lesson stresses the need for mitigation strategies (e.g., turbine placement, solar panel recycling, habitat protection) to minimize ecological impacts and ensure sustainable deployment.",1,habitat fragmentation mitigation,"Habitat fragmentation mitigation refers to strategies and actions taken to reduce the negative impacts of habitat fragmentation, which occurs when large habitats are divided into smaller, isolated patches, often due to human activities. This can include creating wildlife corridors, restoring habitats, and implementing land-use planning to maintain connectivity between habitats.",Sustainable and Responsible Critical Mineral Supply Chains,"This report explores how the environmental, social and governance impacts of mining and processing operations can limit the critical mineral supplies needed for clean energy transitions and outlines five key recommendations for policy makers to ensure that critical mineral supply chains are sustainable and responsible. ",IEA,https://www.iea.org/reports/sustainable-and-responsible-critical-mineral-supply-chains,3321
3.3.2,,,,,2,lifecycle assessment (lca),"Lifecycle assessment (LCA) is a systematic process for evaluating the environmental impacts of a product or service throughout its entire life cycle, from raw material extraction to production, use, and disposal.","Assessing the environmental impacts of renewable energy
 sources with emphasis on wind energy","The study covers the natural and man-made environment affected by RE projects and emphasizes on wind energy projects. Main research gaps are highlighted, and future research steps are proposed.",IOP science,https://iopscience.iop.org/article/10.1088/1755-1315/1123/1/012053,3322
3.3.2,,,,,3,renewable technology recycling,"Renewable technology recycling refers to the process of recovering and reprocessing materials from renewable energy technologies, such as solar panels and wind turbines, to reduce waste and promote sustainability.","Carbon Neutrality in the UNECE Region:
Integrated Life-cycle Assessment
of Electricity Sources","Understanding the full scale of potential impacts from current and future electricity generation is required, in order to avoid “impact leakage”, i.e. increasing non-climate environmental pressure
 while reducing greenhouse gas emissions. Life cycle assessment allows the evaluation of a product over its life cycle,
 and across a wide range of environmental indicators – this method was chosen to report on the environmental profiles of various technologies.",UNECE,https://unece.org/sites/default/files/2022-04/LCA_3_FINAL%20March%202022.pdf,3323
3.3.3,Advancing the Value Chain,,,"This lesson examines advancing the value chain in critical minerals and battery production, emphasizing opportunities for developing nations to shift from raw material exports to high-value processing. It highlights regional collaboration, vertical integration, and sustainable practices (e.g., recycling) to address socio-environmental impacts. Strategic governance and public-private partnerships are underscored as key drivers for economic resilience and equitable growth in the global energy transition.",1,circular economy models,"Circular economy models are economic systems aimed at minimizing waste and making the most of resources by reusing, recycling, and regenerating materials, thereby creating a closed-loop system that reduces environmental impact.",From Lithium to Electric Vehicles in Latin America and the Caribbean (Spanish),"The lithium-ion battery value chain is extensive and complex, with varying technological and financial requirements. This document analyzes its stages, challenges, and opportunities for Latin America and the Caribbean, offering policy recommendations to enhance regional value generation in the global energy transition.",BiD: textos universitaris de biblioteconomia i documentació,https://publications.iadb.org/es/del-litio-al-vehiculo-electrico-en-america-latina-y-el-caribe,3331
3.3.3,,,,,2,high-value processing localization,"High-value processing localization refers to the practice of conducting advanced processing and manufacturing activities closer to the source of raw materials or resources, enhancing efficiency, reducing transportation costs, and increasing the economic benefits for local communities.",Unlocking Supply Chains for Localizing Electric Vehicle Battery Production in India,"This study identifies key barriers to localizing EV battery cell manufacturing in India through consultations with industry, experts, and policymakers. It also evaluates trade risks and offers policy recommendations for government action.",IISD,https://www.iisd.org/publications/report/electric-vehicle-battery-production-india,3332
3.3.3,,,,,3,value chain,"A value chain is a series of steps or activities that a company takes to deliver a product or service, from initial conception to final delivery, adding value at each stage.",IGF Case Study: Decarbonization of the Mining Sector,"Case studies on the role of mining in nationally determined contributions in Chile, Indonesia, and South Africa
 providing a comprehensive understanding of how different countries are navigating the complexities of maintaining a robust mining sector, supplying the world with critical minerals, and reducing emissions from coal mining and use.",IISD,https://www.iisd.org/publications/report/igf-decarbonization-mining-sector-case-study?gad_source=1&gbraid=0AAAAADQ3eTAzsguQNuPvJGcwADHTqBbVV&gclid=CjwKCAjw8IfABhBXEiwAxRHlsHJQIcUYLkPG9A2_qcoaUV0eFOok7pafPy8Y8mI7Kp_CHT9BDr8UWhoCSlIQAvD_BwE,3333
3.4.1,Governance Strategies for a Just Energy Transition,Strategic Governance and Partnership Models for Just Energy Transitions,,"
This lesson explores key energy governance strategies employed by UNDP, introduces the concept of energy democracy, and highlights practical examples.",1,energy policy frameworks,"Energy policy frameworks are structured guidelines and regulations established by governments or organizations to manage energy production, distribution, and consumption, aiming to promote sustainability, security, and economic efficiency.",Just Energy Transition: Governance needs and implications,"The paper is a snapshot of the research at mid-
point – after a conceptual framework on ‘governance needs and implications of a just energy transition’ has been
 developed and tested, and before a set of country case studies will be conducted with the help of the framework.",UNDP,https://www.undp.org/policy-centre/governance/publications/just-energy-transition-governance-needs-and-implications,3411
3.4.1,,,,,2,multi-level governance,"Multi-level governance refers to the system of decision-making that involves multiple layers of government and stakeholders, from local to global levels, working together to address complex issues such as environmental policy, economic development, and social welfare.",Strengthening Energy Governance Systems: An Energy Governance Framework for a JET ,"This policy paper provides a strategic framework for UNDP and partners to advance a just energy transition through strengthened energy governance. It offers guidance on strategies, tools, and policies to support inclusive, accountable, and effective energy transitions globally and locally.",UNDP,https://www.undp.org/publications/strengthening-energy-governance-systems-energy-governance-framework-just-energy-transition,3412
3.4.1,,,,,3,participatory decision-making,"A collaborative process where stakeholders are actively involved in making decisions that affect them, ensuring diverse perspectives are considered.",Issue Brief: Just Transition,"A green transition is vital to achieving Paris Agreement goals but risks increasing inequality and job losses in sectors reliant on fossil fuels. Embedding just transition principles in updated national climate pledges offers an opportunity to address these challenges. This report highlights five key areas for scaled-up support to foster inclusive, climate-resilient, and low-carbon economies, building on Climate Promise experiences.",UNDP,https://www.undp.org/publications/issue-brief-just-transition,3413
3.4.2,Community-Led Sustainable Energy Projects and Community-Based Solutions,,,This lesson underscores the importance of proactive planning and strategic foresight in navigating the energy transition amid global crises like cost-of-living pressures and geopolitical instability. It highlights the need for collaborative governance and equitable infrastructure transformation to address historical inequities and build resilient systems,1,,,,,,,3421
3.4.2,,,,,2,,,,,,,3422
3.4.2,,,,,3,,,,,,,3423
3.4.3,Just Energy Transition Partnerships (JET-P),,,"This lesson explores Just Energy Transition Partnerships (JET-Ps) as innovative financing mechanisms to support developing nations in shifting from fossil fuels to clean energy. It emphasizes blending public and private capital to phase out coal, upgrade grids, and retrain workers. Challenges include ensuring equity, avoiding debt traps, and integrating grassroots priorities into national strategies. Effective governance and inclusive frameworks are stressed to balance economic shifts with social justice and accountability.",1,blended finance mechanisms,"Blended finance mechanisms are financial strategies that combine public and private funds to support projects, particularly in developing countries, aiming to leverage additional investment for sustainable development.",Digitally enabled climate finance,"Mobile and digital technologies, including IoT, blockchain, and voluntary carbon markets, are transforming climate finance by improving data collection and funding efficiency. While these innovations can reduce costs and accelerate adoption, challenges like adoption costs, regulation, and infrastructure availability still hinder their full integration.",EIT Digital,https://www.eitdigital.eu/fileadmin/2022/ecosystem/publications/EIT-Digital_Report_Digital-Technologies-and-the-Green-Economy.pdf,3431
3.4.3,,,,,2,grassroots-to-national alignment,"Grassroots-to-national alignment refers to the process of ensuring that local community initiatives and movements are connected and coordinated with broader national policies and strategies, promoting coherence and mutual support between local actions and national goals.",Digital technologies and the green economy,"Mobile and digital technologies, including IoT, blockchain, and voluntary carbon markets, are transforming climate finance by improving data collection and funding efficiency. While these innovations can reduce costs and accelerate adoption, challenges like adoption costs, regulation, and infrastructure availability still hinder their full integration.",GSMA,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/wp-content/uploads/2023/04/GSMA-ClimateTech-Digitally-Enabled-Climate-Finance.pdf,3432
3.4.3,,,,,3,just energy transition partnerships (jet-ps),"Just Energy Transition Partnerships (JET-Ps) are collaborative initiatives aimed at ensuring that the shift from fossil fuels to renewable energy sources is equitable and inclusive, addressing the social, economic, and environmental impacts on communities and workers affected by this transition.", , , , ,3433
4.1.1,Fundamentals of Sustainable Energy Financing,Introduction to Sustainable Energy Finance and Market Dynamics,Sustainable Energy Finance,"This lesson introduces sustainable finance, exploring its role in integrating environmental, social, and governance (ESG) factors into financial decision-making to align capital flows with sustainable development goals, promote long-term value creation, and address global challenges such as climate change and social inequality.",1,actor of sustainable energy finance,"An actor of sustainable energy finance refers to individuals, organizations, or institutions that engage in funding, investing, or facilitating financial resources specifically aimed at promoting sustainable energy projects and technologies.",The Case for Long-Term SDG Financing,"This paper aims to support global efforts toscale-up and align international financing flows to achieve the SDGs, in conjunction with the Summit for a Global Financing Pact in Paris in June 2023.",UNSDSN,https://www.unsdsn.org/resources/the-case-for-long-term-sdg-financing/,4111
4.1.1,,,,,2,esg,"ESG stands for Environmental, Social, and Governance; it refers to the three central factors used to measure the sustainability and societal impact of an investment in a company or business.",Partnerships for Sustainable Finance: UNDP and International Financial Institutions Accelerating Finance for the Sustainable Development Goals,"The document focuses on UNDP’s collaboration with International Financial Institutions (IFIs) to scale up sustainable financing for the Sustainable Development Goals (SDGs). It highlights stratgies such as INFFs, PPPs, SDG-aligned bonds, and innovative financing instruments",UNDP,https://www.undp.org/publications/partnerships-sustainable-finance-undp-and-international-financial-institutions-accelerating-finance-sustainable-development-goals,4112
4.1.1,,,,,3,sustainable energy finance‚àö‚Ñ¢,"Sustainable energy finance refers to the funding and investment strategies aimed at supporting projects and technologies that promote renewable energy, energy efficiency, and overall sustainability in the energy sector.",SBFN Toolkit: Sustainable Finance Taxonomies,"This toolkit provides guidance for designing, implementing, and evolving sustainable finance taxonomies, particularly in emerging markets. It highlights diverse approaches adopted by member countries, emerging trends, and key features such as interoperability and inclusivity.",SBFN ,https://www.sbfnetwork.org/wp-content/uploads/2024/05/SBFN-Toolkit_Sustainable-Finance-Taxonomies.pdf,4113
4.1.2,The Global Energy Investment Landscape,,,"This lesson introduces the global energy investment landscape, examining the disparities in investment flows between developed and developing countries, the challenges of financing clean energy transitions, and the urgent need for increased capital to bridge the investment gap and align with global climate targets.",1,disparities in energy investments,"Disparities in energy investments refer to the unequal distribution of financial resources and funding across different regions, communities, or sectors for energy projects, leading to imbalances in access to energy services and infrastructure.",World Energy Outlook 2024,"The IEA’s World Energy Outlook 2024 provides an analysis on global energy trends, focusing on the implications for energy security, emissions, and economic development amid rising geopolitical tensions. This year’s report highlights the rapid growth of clean energy investment and electricity demand, assessing global progress toward a more sustainable energy system. It also includes scenario-based insights on key uncertainties, such as the impact of AI, heatwaves, and policy shifts on the future of energy.",IEA,https://www.iea.org/reports/world-energy-outlook-2024,4121
4.1.2,,,,,2,energy transition triple penalty for developing countries,"The energy transition triple penalty for developing countries refers to the challenges these nations face in shifting to sustainable energy sources, which include higher costs for renewable technologies, the need for significant infrastructure investment, and the potential loss of economic stability due to reliance on fossil fuels during the transition.",Global Energy Perspective 2024,"IRENA’s World Energy Transition Outlook highlights that the global energy transition is falling short, jeopardizing the achievement of the 1.5°C climate goal set at COP21 nearly a decade ago. While there is still time to act, an urgent course correction is essential to realign with this target. Achieving this requires addressing the structural and systemic barriers that continue to hinder progress in the energy transition.",IRENA,https://www.irena.org/Publications/2024/Nov/World-Energy-Transitions-Outlook-2024,4122
4.1.2,,,,,3,new collective quantified goal (ncqg),"A New Collective Quantified Goal (NCQG) is a specific, measurable target set by a group of countries or organizations to collectively address global challenges, such as climate change, by tracking progress and ensuring accountability.",World Energy Transitions Outlook 2024,"The Global Energy Perspective 2024 provides a comprehensive demand outlook for 68 sectors and 78 fuels, aligned with a 1.5°C pathway under the Paris Agreement. It also introduces three updated bottom-up energy transition scenarios, redesigned to account for evolving global conditions such as geopolitical challenges, complex supply chains, and rising inflation.",McKinsey & Company,https://www.mckinsey.com/industries/energy-and-materials/our-insights/global-energy-perspective,4123
4.1.3,An Overview of Sustainable Energy Market Dynamics,,,"This lesson explores the mechanisms driving sustainable energy market dynamics, highlighting the shift from fossil fuels to renewables, investment trends, technological advancements, policy frameworks, and the geopolitical and socioeconomic impacts shaping the future of global energy markets.",1,energy markets,"Energy markets are platforms where energy commodities, such as electricity, natural gas, and renewable energy credits, are bought and sold, allowing for price discovery and trade among producers, consumers, and traders.",Tracking SDG7: The Energy Progress Report,"This annual report, produced by five custodian agencies (IEA, IRENA, UNSD, World Bank, and WHO), is the global benchmark for tracking progress toward Sustainable Development Goal 7: ensuring access to affordable, reliable, sustainable, and modern energy for all. It provides updated statistics, policy insights, and progress on energy access, efficiency, renewable energy, clean cooking, and international cooperation.",ESMAP,https://trackingsdg7.esmap.org/downloads,4131
4.1.3,,,,,2,energy security,"Energy security refers to the reliable availability of energy resources at an affordable price, ensuring that a country can meet its energy needs without excessive reliance on external sources.",Global Energy Perspective 2024,"IRENA’s World Energy Transition Outlook highlights that the global energy transition is falling short, jeopardizing the achievement of the 1.5°C climate goal set at COP21 nearly a decade ago. While there is still time to act, an urgent course correction is essential to realign with this target. Achieving this requires addressing the structural and systemic barriers that continue to hinder progress in the energy transition.",IRENA,https://www.irena.org/Publications/2024/Nov/World-Energy-Transitions-Outlook-2024,4132
4.1.3,,,,,3,market regulation,"Market regulation refers to the rules and laws established by governments or regulatory bodies to control and oversee economic activities in markets, ensuring fair competition, consumer protection, and preventing monopolies.",World Energy Transitions Outlook 2024,"The Global Energy Perspective 2024 provides a comprehensive demand outlook for 68 sectors and 78 fuels, aligned with a 1.5°C pathway under the Paris Agreement. It also introduces three updated bottom-up energy transition scenarios, redesigned to account for evolving global conditions such as geopolitical challenges, complex supply chains, and rising inflation.",McKinsey & Company,https://www.mckinsey.com/industries/energy-and-materials/our-insights/global-energy-perspective,4133
4.1.4,"Bankable, Investable and Financeable Transformative Projects",,,"This lesson explores Investable and Financeable Transformative Projectsand highlights the financial, regulatory, and technical criteria required to attract private and public capital while overcoming challenges such as high capital costs, unclear regulatory frameworks, and inadequate infrastructure in emerging and developing economies.",1,,,How to Unluck Pipeline of Bankable Renewable Projects,"This position paper explores key lessons and best practices from the World Bank's experiences in supporting utility-scale solar PV projects, focusing on enabling policies, financing models, risk mitigation, and the role of private sector engagement to scale up renewable energy deployment globally.",SRMI,https://documents1.worldbank.org/curated/en/099120623171525006/pdf/P1742020cf52b60e6096b80854984124388.pdf,4141
4.1.4,,,,,2,,,Develop Bankable Renewable Energy Projects,"This tool is designed to assist project developers in successfully planning, structuring, and implementing renewable energy projects. It provides practical tools, templates, and methodologies covering every stage of project development",IRENA,https://www.irena.org/-/media/Files/IRENA/Project-Navigator/IRENA-Project-Navigator-2018.pdf,4142
4.1.4,,,,,3,,,11 Key Bankability Issues for Renewable Energy Projects,"The document discusses key bankability issues for renewable energy projects, focusing on construction, operation, and regulatory aspects of utility-scale solar and wind projects in Australia. It highlights the role of project finance structures, EPC contracts, and risk allocation to ensure project feasibility and attract investments.",PWC,https://www.pwc.com.au/energy-transition/papers/11-bankability-issues-renewable-energy-projects.pdf,4143
4.2.1,Role of Public Sector in Sustainable Energy Finance,Public Sector and Sustainable Energy Finance,,"This lesson explores the crucial role of public sector investment in driving the renewable energy transition by providing financial support, mitigating risks, and fostering an enabling regulatory environment.",1,fiscal policies,Fiscal policies are government strategies regarding taxation and spending to influence a country's economy.,Financing the Transition: How to Make the Money Flow for a Net-Zero Economy,"This report explores the financial requirements to achieve a net-zero carbon economy by mid-century, aligned with the Paris Agreement's goals.",ETC,https://www.energy-transitions.org/publications/financing-the-transition-etc/,4211
4.2.1,,,,,2,public investment management (pim),"Public Investment Management (PIM) refers to the processes and practices used by governments to plan, execute, and oversee investments in public projects and services, ensuring efficient use of resources and maximizing social and economic benefits.",Financing the Green Energy Transition: Innovative Financing for a Just Transition,This report explores the investment strategies and financial mechanisms required to achieve a global net-zero economy by 2050.,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/us/Documents/financial-services/us-financing-the-green-energy-transition-innovative-financing.pdf,4212
4.2.1,,,,,3,regulatory support and policy frameworks,"Regulatory support and policy frameworks are structured guidelines and rules established by governments or organizations to promote, manage, and enforce practices related to energy use, sustainability, and environmental protection.",Financing the Energy Transition,This document examines the urgent need to transition to a deeply decarbonized energy system aligned with the Paris Agreement.,DNV,https://www.dnv.com/energy-transition/financing-report-2021/,4213
