Lesson,Resource #,Title,Description (60 words max),Link,Source
3.4.1,3,Energy Planning and Modelling Support in Africa,"Capacity building in energy planning and modeling, Long-term energy planning strategies, Integration of renewable energy into national energy plans, Training and support for energy planners and policymakers, Development of energy transition strategie",https://www.irena.org/Energy-Transition/Planning/Long-term-energy-planning-support/Capacity-building-for-energy-planning-and-modelling,IRENA
3.4.2,1,A Global Foresight Report on Planetary Health and Human Wellbeing,"Strategic Foresight and Horizon Scanning, Environmental and Planetary Health, Future Challenges and Opportunities, Regional and Global Perspectives.",https://www.unep.org/resources/global-foresight-report,UNEP
3.4.2,2,Reimagining Resource Planning,"Resource planning, energy transition, sustainable energy strategies",https://rmi.org/insight/reimagining-resource-planning/,UN Women
3.4.2,3,How Energy Modeling Works. The Uses and Limitations of Energy. Modeling for Decarbonization Planning,"Explanation of energy modeling, Importance of energy modeling in planning, Different types of energy models, Applications of energy modeling in policy and decision-making",https://www.cesa.org/wp-content/uploads/How-Energy-Modeling-Works.pdf,Clean Energy States Alliance
3.4.3,1,Experimental Indicators of the Clean Energy Transition,"Clean energy transition, innovation, data-driven insights",https://www.iea.org/reports/experimental-indicators-of-the-clean-energy-transition,IEA
3.4.3,2,Gender Equality in the Sustainable Energy Transition,"Gender equality, energy transition, sustainable energy, women’s empowerment","https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition#:~:text=Publication%20year%3A%202023&text=UN%20Women%20and%20UNIDO%20have,research%20findings%20and%20case%20studies.",Sustainable Energy for All
3.4.3,3,Renewable Energy Capacity Statistics 2024,"Smart Grids, Renewable Energy, Digitalization",https://www.esmap.org/Maximizing_Socioeconomic_Benefits_Triggered_by_Renewables?title=&year=all&created=&created_1=&programs%5B1664%5D=1664&programs%5B1656%5D=1656&programs%5B15%5D=15&programs%5B1240%5D=1240&programs%5B1652%5D=1652&sort_by=field_published_on_value&sort_order=DESC,IRENA
4.1.1,1,Power Sector Implementation of a Country Coal-to-Clean Transition,"Economic Trends, Trade Dynamics, Investment Flows, Development Challenges",http://www.unece.org/index.php?id=41058,IEA
4.1.1,2,Global Trends in Renewable Energy Investment 2016,"Renewable Energy Investment, Green Financing, Global Energy Market Trends, Sustainable Energy Development",http://fs-unep-centre.org/sites/default/files/publications/globaltrendsinrenewableenergyinvestment2016lowres_0.pdf,UNFCCC
4.1.1,3,The Cost of Financing for Renewable Power,"Cost Analysis, Clean Energy Investment, Market Trends",https://www.irena.org/Publications/2023/May/The-cost-of-financing-for-renewable-power,IRENA
4.1.2,1,World Energy Investment 2024,"Investment trends in the energy sector, energy transition and renewable energy investments, market dynamics and energy demand, policy impacts on energy investments.",https://www.iea.org/reports/world-energy-investment-2024,IEA
4.1.2,2,Renewables 2023 Global Status Report,"Global renewable energy capacity, investments, policy developments, technological advancements, market trends, and the environmental and social impacts of renewable energy.",https://www.unep.org/resources/report/renewables-2023-global-status-report-collection-energy-demand,UNEP
4.1.2,3,Derisking Renewable Energy Investment,"Renewable Energy Investment, Risk Management Strategies,
Financial Mechanisms, Investment in Clean Energy",https://www.undp.org/sites/g/files/zskgke326/files/publications/Derisking%20Renewable%20Energy%20Investment%20-%20Key%20Concepts%20Note%20(Mar%202014Versi%20%20%20.pdf,UNDP
4.1.3,1,World Investment Report 2023: Investing in Sustainable Energy for All,"Investment trends in sustainable energy, policy and regulatory impacts, investment challenges and opportunities, 
emerging markets dynamics, climate goals and financing needs.",https://investmentpolicy.unctad.org/publications/1283/world-investment-report-2023-investing-in-sustainable-energy-for-all,UNCTAD
4.1.3,2,Tracking Clean Energy Innovation in the Business Sector: An Overview,"Private sector innovation, clean energy, corporate sustainability",https://www.iea.org/reports/tracking-clean-energy-innovation-in-the-business-sector-an-overview,IEA
4.1.3,3,Trade and Development Report Update 2024,"Economic Trends, Trade Dynamics, Investment Flows, Development Challenges",https://unctad.org/publication/trade-and-development-report-update-april-2024,UNCTAD
4.2.1,1,Key Enablers to Triple Renewables by 2030: Finance,"Finance & Investement, Public Finance in Energy",https://www.irena.org/News/articles/2024/Aug/Key-Enablers-to-Triple-Renewables-by-2030-Finance,IRENA
4.2.1,2,Catalysing Climate Finance,"Climate Finance Strategies, Leveraging Public and Private Investments, Financial Mechanisms for Climate Action, Policy Frameworks for Sustainable Development, Risk Management in Climate Finance",https://www.un-redd.org/sites/default/files/2021-10/UNDP-Catalysing-Climate%20Finance%20-%20May%202011.pdf,UNDP
4.2.1,3,Tracking Public Investment in Energy Technology Research: A Roadmap,"Public investment, energy R&D, government policy, innovation",https://www.iea.org/reports/tracking-public-investment-in-energy-technology-research-a-roadmap,IEA
4.2.2,1,Towards a Circular Steel Industry,"Energy markets, clean energy transition, regulatory frameworks, economic incentives",https://www.irena.org/Technical-Papers/Potential-Limitations-of-Marginal-Pricing-for-a-Power-System-Based-on-Renewables,IRENA
4.2.2,2,Fostering Effective Energy Transition 2024,"Energy Transition Progress, Policy and Regulation
Technological Innovation, Investment and Financing, Global and Regional Trends, Challenges and Opportunities.",https://www.weforum.org/publications/fostering-effective-energy-transition-2024/in-full/3-sub-index-and-dimension-trends/,World Economic Forum
4.2.2,3,UN SDSN Global Climate Hub: Modelling Net Zero Pathways,"Universal Energy Access, Sustainable Development, Policy Progress",https://www.iea.org/reports/financing-clean-energy-in-africa,National Renewable Energy Laboratory
4.2.3,1,Asia energy profile : energy sector performance (English),"Energy Sector Reform in East and South Asia, Cross-Country Comparisons of Energy Growth and Utility Performance in Asia, Insights on international benchmarks",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/465061468324852926/asia-energy-profile-energy-sector-performance,World Bank
4.2.3,2,UNDP Energy Strategy 2017-2021,"Sustainable Energy, Energy Access, Climate Change Mitigation, Renewable Energy Policies, Energy Efficiency",https://un-energy.org/wp-content/uploads/2017/01/UNDP-Energy-Strategy-2017-2021.pdf,ESCAP
4.2.3,3,World Energy Outlook 2020,"Global energy demand trends, Impacts of the COVID-19 pandemic on energy markets, Energy transitions and pathways to net-zero emissions, Renewable energy growth and integration, Fossil fuels and their future in the global energy mix, Policy frameworks",https://www.iea.org/reports/world-energy-outlook-2020,IEA
4.3.1,1,Scaling Up Private Finance for Clean Energy in Emerging and Developing Economies,"Private finance, clean energy investment, policy frameworks",https://www.iea.org/reports/scaling-up-private-finance-for-clean-energy-in-emerging-and-developing-economies,IEA
4.3.1,2,Accerlating the Energy Transition in Emerging Markets – Strategies for Unlocking Investment,"Energy Transition, Renewable Energy Investment, Emerging Markets, Climate Finance, Policy and Regulatory Frameworks, Private Sector Engagement, Sustainable Infrastructure, Green Technologies",https://www.cif.org/resource-collections/program-and-sector-specific-studies/accelerating-energy-transition-emerging,Climate Investment Funds
4.3.1,3,World Energy Investment 2023,"Energy investment trends, financial flows, renewables, fossil fuels",https://www.iea.org/reports/world-energy-investment-2023,IEA
4.3.2,1,Unlocking Renewable Energy Investment: The role of risk mitigation and structured finance,"Risk Mitigation and Structured Finance Toolkit, Investment Shortfall and Market Barriers, Action Areas for Policy Makers and Financial Institutions, Case Studies and Survey Insights",https://www.irena.org/Publications/2016/Jun/Unlocking-Renewable-Energy-Investment-The-role-of-risk-mitigation-and-structured-finance,IRENA
4.3.2,2,Climate Infrastructure Investing: Risks and Opportunities for Unlisted Renewables,"Renewable investments, climate finance, risk management, sustainable energy",https://www.iea.org/reports/climate-infrastructure-investing-risks-and-opportunities-for-unlisted-renewables,IEA
4.3.2,3,Utilising the Broad Application of Green Hydrogen,"Green hydrogen applications, Renewable energy innovation,
Climate change mitigation, Energy transition strategies.",https://www.undp.org/vietnam/blog/utilising-broad-application-green-hydrogen,UNDP
4.3.3,1,Blended Finance and the Gender-Energy Nexus: A Stocktaking Report,"Gender-energy nexus, Blended finance, Sustainable energy",https://www.wocan.org/wp-content/uploads/2024/07/CC-Facility_Learning-Hub_Stocktaking-Report.pdf,International Network on Gender and Sustainable Energy
4.3.3,2,Linking Global Finance to Small-Scale Clean Energy,"Climate finance, Energy access",https://www.undp.org/publications/linking-global-finance-small-scale-clean-energy,UNDP
4.3.3,3,What is Climate Finance and Why Do We Need More of It?,"Climate Finance, Sustainable Development, Global Cooperation,Economic Impact, Funding Needs",https://climatepromise.undp.org/news-and-stories/what-climate-finance-and-why-do-we-need-more-it,UNDP
4.4.1,1,The Net Zero Industry Tracker,"Industrial emissions, carbon reduction, energy transition, corporate sustainability",https://www.weforum.org/reports/the-net-zero-industry-tracker,WEF
4.4.1,2,Advancing Decarbonisation Through Clean Electricity Procurement,"Corporate renewable energy procurement, decarbonization, policy frameworks",https://www.iea.org/reports/advancing-decarbonisation-through-clean-electricity-procurement,IEA
4.4.1,3,Climate Critical: The Energy Efficiency Imperative,"Energy efficiency, sustainable energy, corporate sustainability, decarbonization, climate action, net-zero goals, industrial energy use, policy recommendations, clean energy transition",https://www.theclimategroup.org/sites/default/files/2023-03/Climate%20Group%20-%20EP100%20-%20Progress%20and%20Insights%20Report%20FINAL%2022.pdf,The Climate Group
4.4.2,1,Debt-for-Climate Swaps,"Debt Swaps, Environmental Benefits, Debt Relief Strategies,
Policy Implementation","What are the key topics? What are the tags? Energy, Health, Gender, Economy, Environment, Government, Finance, Technology?",Institute for Governance & Sustainable Development
4.4.2,2,A new wave of debt swaps for climate or nature,"Debt Swaps for Climate and Nature, Debt Distress in Developing Countries",https://www.undp.org/future-development/signals-spotlight-2023/new-wave-debt-swaps-climate-or-nature,UNDP
4.4.2,3,The Energy Transition: A Catalyst to Address the Global Triple Crisis,"Sustainable Energy, Renewable Energy Development, Policy Frameworks, Regional Cooperation",https://www.imf.org/en/Blogs/Articles/2023/11/06/how-green-innovation-can-stimulate-economies-and-curb-emissions,IEA
4.4.3,1,"Carbon Capture, Utilization, and Storage (CCUS)","Carbon Sequestration, Emission Reduction, Industrial Decarbonization",https://www.iea.org/reports/ccus,IEA
4.4.3,2,"Energy, Electricity and Nuclear Power Estimates for the Period up to 2050","Financing Model, Carbon Pricing and Monitoring, Legal Framework, Business Model",https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1754web-26894285.pdf,Sustainable Energy for All
4.4.3,3,Carbon Payments for Development,"Paris Agreement Article 6, Role of Private Sector, Financing NDCs and Development Plans, CP4D Facility Framework",https://www.undp.org/energy/our-flagship-initiatives/carbon-payments-development,UNDP
4.4.4,1,AI Can Power The Green Energy Transition,"The Role of AI in Enhancing Renewable Energy Systems, Optimization of Energy Efficiency Through AI, AI-Driven Grid Management and Resilience, Accelerating the Transition to Sustainable Energy Using AI Technologies.",https://www.forbes.com/sites/sumantsinha/2024/02/26/ai-can-power-the-green-energy-transition/,Forbes
4.4.4,2,How Digital Technology and Innovation can Help Protect the Planet,"Climate Action, Digital Transformations, Green Economy
Environmental Monitoring and Management.",https://www.unep.org/news-and-stories/story/how-digital-technology-and-innovation-can-help-protect-planet,UNEP
4.4.4,3,Delivering Energy Services for Poverty Reduction: Success Stories,"SPLAT (System Planning Test) Models for Africa, Long-term energy planning, Renewable energy integration, Capacity building in energy planning, Strategic development of Africa's energy sector",https://www.cepal.org/en/pressreleases/current-pace-only-23-sustainable-development-goal-targets-will-be-achieved-2030-latin,IMF
4.5.1,1,Low-Cost Finance for the Energy Transition,"Renewable Energy Investments, Financial Instruments, Economic Development",https://www.irena.org/Publications/2023/May/Low-cost-finance-for-the-energy-transition,IRENA
4.5.1,2,Renewable Power Generation Costs in 2021,"Cost trends, renewable energy investments, technology efficiency",https://www.irena.org/Publications/2022/Jul/Renewable-Power-Generation-Costs-in-2021,IRENA
4.5.1,3,Scaling Up Investments in Ocean Energy Technologies,"Offshore Energy, Blue Economy, Investment Strategies",https://www.irena.org/Publications/2023/Mar/Scaling-up-investments-in-ocean-energy-technologies,IRENA
4.5.2,1,Advancing gender equality in the renewable energy sector,"Gender Equality, Renewable Energy, Position Paper",https://www.ruralelec.org/publication/position-paper-advancing-gender-equality-in-the-renewable-energy-sector/,Alliance for Rural Electrification
4.5.2,2,Solar PV: A Gender Perspective,"Gender equality, workforce diversity, solar energy, employment in renewables",https://www.irena.org/Publications/2022/Sep/Solar-PV-Gender-Perspective,IRENA
4.5.2,3,Gender Equality in the Off-Grid Solar Sector: A Primer,"Gender Inclusion in Renewable Energy, Off-Grid Solar Market, Women’s Empowerment",https://www.esmap.org/Gender_Equality_in_the_Off-Grid_Solar_Sector_Primer,ESMAP
4.5.3,1,Renewable Energy Capacity Statistics 2024,"Global renewable energy capacity, growth trends, and regional insights.",https://sun-connect.org/wpcont/uploads/IRENA_RE_Capacity_Statistics_2024.pdf,IRENA
4.5.3,2,"At the Current Pace, Only 23% of the Sustainable Development Goal Targets Will Be Achieved by 2030 in Latin America and the Caribbean","Decarbonization, Circular Economy, Steel Industry Transformation",https://www.weforum.org/reports/the-net-zero-industry-tracker,IRENA
4.5.3,3,Renewable Energy Outlook for ASEAN: Towards a Regional Energy Transition (2nd Edition),"Innovative Technologies Driving ASEAN’s Renewable Energy Future: The Role of Electrification, Hydrogen, and Energy Storage",https://www.irena.org/Publications/2022/Sep/Renewable-Energy-Outlook-for-ASEAN-2nd-edition,IRENA
5.1.1,1,Securing Clean Energy Technology Supply Chains,"Energy Systems Modeling in Africa, Sustainable Energy Development, Climate Change and Energy Planning, Renewable Energy Integration, Challenges in African Energy Infrastructure Policy and Decision-Making Support",http://repositorio.cepal.org/handle/11362/40809,IEA
5.1.1,2,International Energy Agency ‘Net Zero by 2050 report’,"Net-zero emissions, energy transition, renewable energy, decarbonization, climate change mitigation, energy policy, clean energy technologies, global energy roadmap.",https://www.wbcsd.org/resources/international-energy-agency-net-zero-by-2050-report/,World Business Council for Sustainable Development
5.1.1,3,Why Artificial Intelligence is a Game-Changer for Renewable Energy,"Basic Energy Access, Global Progress, Energy",https://www.irena.org/Publications/2022/Mar/Renewable-Technology-Innovation-Indicators,REN21
5.1.2,1,Dutch Green Hydrogen proposition for South Africa,"Nuclear Energy, Clean Energy Transition, Net Zero Emissions, Decarbonization, Energy Investment, Climate Change Mitigation, Policy and Regulatory Frameworks, Sustainable Energy",https://www.iea.org/reports/world-energy-investment-2024,IEA
5.1.2,2,Public Finance For Universal Energy Access,"Technological innovations for climate goals, decarbonization pathways,greenhouse gas emissions reduction, investment needs for technological advancements, policy frameworks for technology adoption and sectoral transitions (electricity, transport, ind",https://www.ruralelec.org/publication/e-mobility-dre-innovations-in-emerging-economies/,World Economic Forum
5.1.2,3,Energy Modelling in the EU and China,"Global renewable energy capacity, growth trends, and regional insights.",https://www.irena.org/Publications/2022/Mar/Green-Hydrogen-for-Industry,UNECE
5.1.3,1,Towards a Hydrogen Economy in the UNECE Region,"Hydrogen Technology Development in the UNECE Region, Policy and Regulatory Frameworks for Hydrogen, 
Infrastructure for Hydrogen Prroduction and Distribution, Cross-Border Cooperation and International Trade, 
Environmental and Economic Impacts of Hy",https://unece.org/sustainable-energy/publications/towards-hydrogen-economy-unece-region,UNECE
5.1.3,2,Advancing Green Hydrogen Production from Solar and Wind Power Sources and Potential Uses in Viet Nam,"Green hydrogen as a driver for sustainable industrial development, Policy frameworks for green hydrogen in developing countries, Integration of green hydrogen into national energy strategies, Industrial decarbonization.",https://www.irena.org/Publications/2022/Sep/Solar-PV-Gender-Perspective,Netherlands Enterprise Agency
5.1.3,3,Renewable Energy and Sustainability Report 2023,"Renewable energy, sustainability, clean energy transition, environmental impact",https://www.ren21.net/renewable-energy-and-sustainability-report-2023/,WEF
5.2.1,1,Green Public Procurement: Catalysing the Net Zero Economy,"Sustainable procurement, green economy, climate policies, net-zero strategy",https://www.weforum.org/whitepapers/green-public-procurement-catalysing-the-net-zero-economy,WEF
5.2.1,2,Scaling Up Investments in Ocean Energy Technologies,"Universal Energy Access, Sustainable Development, Policy Progress",https://www.iea.org/reports/securing-clean-energy-technology-supply-chains,World Bank
5.2.1,3,Making the Hydrogen Economy Possible: Accelerating Clean Hydrogen in an Electrified Economy,"Role of clean Hydrogen, Policy and Private-Sector Collaboration, Decarbonization Challenges and Opportunities",https://www.energy-transitions.org/publications/making-clean-hydrogen-possible/,Energy Transition Commission
5.2.2,1,"Decarbonization, Energy Policy, Net-Zero Pathways","Decarbonization, Energy Policy, Net-Zero Pathways",https://www.irena.org/Publications/2023/Jun/World-Energy-Transitions-Outlook-2023,IRENA
5.2.2,2,How Energy Modeling Works. The Uses and Limitations of Energy. Modeling for Decarbonization Planning,"Transition to renewable energy sources, electrification of transport and heating, energy efficiency measures, and sector coupling.",https://www.esmap.org/grid-integration-requirements-for-variable-renewable-energy,UNEP
5.2.2,3,The Evolution of Energy Efficiency Policy to Support Clean Energy Transitions,"Energy efficiency, policy evolution, clean energy, energy transitions",https://www.iea.org/reports/the-evolution-of-energy-efficiency-policy-to-support-clean-energy-transitions,IEA
5.2.3,1,A Survey of International Activities in Energy Access and Electrification,"Role of AI in Energy Transition, Grid Resilience and Flexibility, 
Data Analysis and Optimization, Challenges and Recommendations.",https://www.irena.org/Publications/2022/May/Innovation-Outlook-Renewable-Ammonia,Clean Aviation
5.2.3,2,Clean Energy Transitions Programme 2021,"Energy policy, decarbonization, global energy transition, technology development",https://www.iea.org/reports/clean-energy-transitions-programme-2021,IEA
5.2.3,3,Tracking SDG7: The Energy Progress Report 2022,"Energy Access, Government Incentives, Offshore Wind Energy, National Energy Strategy",https://www.esmap.org/esmap_Tracking_SDG7_The_Energy_Progress_Report_2022,ESMSP
5.2.4,1,Grid Integration Requirements for Variable Renewable Energy,"Energy Regulations, National Strategy, Sustainable Power Systems",https://www.esmap.org/grid-integration-requirements-for-variable-renewable-energy,ESMAP
5.2.4,2,Grid Codes for Renewable-Powered Systems,"Power grid regulations, renewable energy integration, system stability",https://www.irena.org/Publications/2022/Apr/Grid-codes-for-renewable-powered-systems,IRENA
5.2.4,3,"As Use of A.I. Soars, So Does the Energy and Water It Requires","Integration of AI in Energy Systems, Optimization of Renewable Energy, Enhancing Rrid Resilience, AI's Role in Climate Modeling and Prediction, Ethical Considerations and Regulations.",https://e360.yale.edu/features/artificial-intelligence-climate-energy-emissions,Yale School of the Environment
5.3.1,1,Unsustainable Mining: The Achilles' Heel of the Global Energy Transition,"Sustainable Energy, Transition to Zero Emissions Growth",https://www.carbontrust.com/en-eu/news-and-insights/insights/unsustainable-mining-will-be-the-achilles-heel-of-the-global-energy-transition,Grantham Research Institute
5.3.1,2,"At the Current Pace, Only 23% of the Sustainable Development Goal Targets Will Be Achieved by 2030 in Latin America and the Caribbean","Energy transition, climate crisis, energy access, global challenges",https://www.irena.org/Publications/2022/Sep/Solar-PV-Gender-Perspective,IRENA
5.3.1,3,Innovation Outlook: Renewable Ammonia,"Power System, Clean Energy, Renewable Transition, Grid Infrastructure",https://www.irena.org/Technical-Papers/Potential-Limitations-of-Marginal-Pricing-for-a-Power-System-Based-on-Renewables,IRENA
5.3.2,1,Renewable Technology Innovation Indicators,"Renewable investments, climate finance, risk management, sustainable energy",https://www.ruralelec.org/publication/position-paper-off-grid-renewable-energies-to-achieve-sdg-7-and-sdg-13-cheaper-cleaner-and-smarter/,IRENA
5.3.2,2,Asia-Pacific Progress in Sustainable Energy,"Renewable ammonia, green hydrogen, industrial applications, energy transition",https://rmi.org/insight/making-the-clean-energy-transition-affordable/,Clean Energy States Alliance
5.3.2,3,Public Finance For Universal Energy Access,"Renewable energy, sustainability, clean energy transition, environmental impact",https://trackingsdg7.esmap.org/data/files/download-documents/asia-pacific_regional_gtf_2017_report.pdf,Clean Energy States Alliance
5.3.3,1,Global Energy Transformation Guide: Fossil Fuel Transition Strategies,"Energy Access, Sustainable Development, Economic Growth, Net-Zero Transition",https://www.irena.org/Publications/2022/Mar/Renewable-Technology-Innovation-Indicators,IEA
5.3.3,2,Scaling Solar Power: 2025 Solar Market Insight Report with Wood Mackenzie,"Solar power, Market trends, Investment insights",https://seia.org/research-resources/scaling-solar-power-2025-solar-market-insight-report-with-wood-mackenzie/,Solar Energy Industries Association
5.3.3,3,Tracking SDG7 Progress: The Enery Progress Report 2024,SDG7,https://www.irena.org/Publications/2024/Jun/Tracking-SDG-7-The-Energy-Progress-Report-2024,IRENA
5.4.1,1,Renewable Energy and Jobs: Annual Review 2023,"Nuclear Energy, Clean Energy Transition, Net Zero Emissions, Decarbonization, Energy Investment, Climate Change Mitigation, Policy and Regulatory Frameworks, Sustainable Energy",https://investmentpolicy.unctad.org/publications/1283/world-investment-report-2023-investing-in-sustainable-energy-for-all,IRENA
5.4.1,2,Global Energy Perspective 2023: Hydrogen outlook,"Energy Transition Scenarios, Role of Hydrogen in Decarbonizing the Energy System, Uncertainties Surrounding Hydrogen's Future Role, Challenges and Opportunities, Policy and Investment Imperatives",https://www.mckinsey.com/industries/oil-and-gas/our-insights/global-energy-perspective-2023-hydrogen-outlook,Mckinsey
5.4.1,3,Reimagining Resource Planning,"SDGs, Latin America, Caribbean, sustainable development, development challenges",https://www.undp.org/sites/g/files/zskgke326/files/publications/Financing_the_2030_Agenda_CO_Guidebook.pdf,IEA
5.4.2,1,The Cost of Financing for Renewable Power,"Global renewable energy capacity, investments, policy developments, technological advancements, market trends, and the environmental and social impacts of renewable energy.",https://www.wocan.org/wp-content/uploads/2024/07/CC-Facility_Learning-Hub_Stocktaking-Report.pdf,UNDP
5.4.2,2,IRENA Energy Transition Support to Strengthen Climate Action 2022,"Energy transition, climate action, IRENA, global cooperation",https://www.irena.org/Publications/2022/Nov/IRENA-energy-transition-support-to-strengthen-climate-action-2022,IRENA
5.4.2,3,UN SDSN Global Climate Hub: Modelling Net Zero Pathways,"Climate change mitigation and adaptation strategies, Sustainable development goals (SDGs), Renewable energy transition, Global cooperation and policy frameworks,
COP28 climate discussions and outcomes",https://unsdsn.globalclimatehub.org/wp-content/uploads/2024/01/report_COP28_final_proofread-2.pdf,UN SDSN
5.4.3,1,Accelerating Hydrogen Deployment in the G7,"Energy Access, Industrial Energy Efficiency, Renewable Energy, Sustainable Development, Clean Technologies",http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,EY
5.4.3,2,Green Hydrogen for Industry,"Clean cooking, energy access, health impacts, sustainable development",https://www.cesa.org/wp-content/uploads/How-Energy-Modeling-Works.pdf,ESMSP
5.4.3,3,How Green Innovation Can Stimulate Economies and Curb Emissions,"Policy and Implementations, Green Innovation, Energy Reforms, Climate Change",https://www.imf.org/en/Blogs/Articles/2023/11/06/how-green-innovation-can-stimulate-economies-and-curb-emissions,IMF
5.4.4,1,Accelerating Hydrogen Deployment in the G7,"Energy Access, Industrial Energy Efficiency, Renewable Energy, Sustainable Development, Clean Technologies",http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,EY
5.4.4,2,Green Hydrogen for Industry,"Clean cooking, energy access, health impacts, sustainable development",https://www.cesa.org/wp-content/uploads/How-Energy-Modeling-Works.pdf,ESMSP
5.4.4,3,How Green Innovation Can Stimulate Economies and Curb Emissions,"Policy and Implementations, Green Innovation, Energy Reforms, Climate Change",https://www.imf.org/en/Blogs/Articles/2023/11/06/how-green-innovation-can-stimulate-economies-and-curb-emissions,IMF
6.1.1,1,"Critical Transitions: Circularity, equity, and responsibility in the quest for energy transition minerals","SDG7, energy access, progress tracking, sustainable development goals",https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition,IEA
6.1.1,2,Generating Meaningful Energy Systems Models for Africa,"Energy Systems Modeling in Africa, Sustainable Energy Development, Climate Change and Energy Planning, Renewable Energy Integration, Challenges in African Energy Infrastructure Policy and Decision-Making Support",https://issues.org/energy-systems-models-africa-dioha-mutiso/,Issues in Science and Technology
6.1.1,3,Financing Clean Energy in Africa,"Sustainable Transport Solutions, Climate Change and Transport, Policy Pathways for Sustainable Mobility, Challenges and Opportunities in Transport Transition",https://www.rvo.nl/sites/default/files/2023-08/Dutch-GH2-proposition-for-South-Africa.pdf,IEA
6.1.2,1,IPCC’s Sixth Assessment on Tackling Climate Change,"Climate Change, Power Shortage, Renewable Energy, Electricity Access",https://www.carbonbrief.org/in-depth-qa-the-ipccs-sixth-assessment-on-how-to-tackle-climate-change/,Carbon Brief
6.1.2,2,"Reference Data Series No. 1 – Energy, Electricity and Nuclear Power Estimates for the Period up to 2050","Smart Grids, Renewable Energy, Digitalization",https://www.iea.org/reports/renewables-2022,WEF
6.1.2,3,Sharing Knowledge to Transform Energy Systems in Developing Countries,"Knowledge Sharing, Energy Systems Transformation, Sustainable Development, Renewable Energy, Energy Access, Developing Countries,
Climate Change Mitigation, Capacity Building, Energy Infrastructure, Clean Energy Solutions",https://www.cif.org/sites/cif_enc/files/knowledge-documents/gesp_may10_2024.pdf,The Climate Investment Funds
6.2.1,1,Environmental Sustainability and Energy Development,"Environmental Protection, Sustainable Energy, Climate Change Mitigation, Green Technologies",http://repositorio.cepal.org/handle/11362/40809,UNEP
6.2.1,2,Innovation Trends in Electrolysers for Hydrogen Production,"Cost Analysis, Clean Energy Investment, Market Trends",https://cleancooking.org/news/clean-cooking-alliance-releases-2024-annual-report/,RMI
6.2.1,3,Towards a Hydrogen Economy in the UNECE Region,"Global renewable energy capacity, investments, policy developments, technological advancements, market trends, and the environmental and social impacts of renewable energy.",https://www.iea.org/reports/fossil-fuel-subsidies-in-clean-energy-transitions-time-for-a-new-approach,UNFCCC
6.2.2,1,Harnessing the Power of Hydrogen,"Hydrogen as a clean energy source, Sustainable energy solutions, Climate change mitigation, Renewable energy infrastructure.",https://www.undp.org/stories/harnessing-power-hydrogen,UNDP
6.2.2,2,Renewable Technology Innovation Indicators,"Innovation trends, renewable technologies, research and development",https://www.irena.org/Publications/2022/Mar/Renewable-Technology-Innovation-Indicators,IRENA
6.2.2,3,Renewable Energy Statistics 2023,"Renewable energy technologies, including solar, wind, hydro, and bioenergy.",https://www.irena.org/Publications/2023/Jul/Renewable-energy-statistics-2023,IRENA
6.3.1,1,Why Artificial Intelligence is Key to Renewable Energy Grid Resilience,"Role of AI in Energy Transition, Grid Resilience and Flexibility, 
Data Analysis and Optimization, Challenges and Recommendations.",https://www.weforum.org/agenda/2021/03/artificial-intelligence-is-key-to-grid-resilience/,World Economic Forum
6.3.1,2,How AI Can Help Power Energy Systems in an Age of Renewables,"Role of AI in Managing Energy Demand, Optimization of Grid Operations, Integration of Renewable Energy Sources, 
Enhancing Grid Resilience, Improving Efficiency and Reducing Costs in Power Systems.",https://www.reuters.com/sustainability/climate-energy/how-ai-can-help-power-energy-systems-an-age-renewables-2023-12-18/,Reuters
6.3.1,3,Renewable Energy and Sustainability Report 2023,"Energy Systems Modeling in Africa, Sustainable Energy Development, Climate Change and Energy Planning, Renewable Energy Integration, Challenges in African Energy Infrastructure Policy and Decision-Making Support",https://www.iea.org/reports/advancing-decarbonisation-through-clean-electricity-procurement,ESCAP
6.3.2,1,Energy Transitions Require Innovation in Power System Planning,"Grid modernization, power systems, energy resilience, technological innovation",https://www.iea.org/articles/energy-transitions-require-innovation-in-power-system-planning,IEA
6.3.2,2,Why Artificial Intelligence is a Game-Changer for Renewable Energy,"AI's role in optimizing renewable energy systems, Predictive Analytics for Managing Energy Demand and Supply, Enhancing Energy Storage and Grid Reliability with AI.",https://www.ey.com/en_uk/power-utilities/why-artificial-intelligence-is-a-game-changer-for-renewable-energy,EY
6.3.2,3,Can renewable energy development facilitate China's sustainable energy transition? Perspective from Energy Trilemma,"Techno-economic analysis, integration of solar energy with hydrogen production systems, sustainable urban energy supply, and the feasibility of combined renewable energy systems.",https://www.sciencedirect.com/science/article/abs/pii/S0360544224019340,Elsevier
